untrustworthy_flag,turnout_2020_binary,voted_biden_2020,voted_trump_2020,age,female,digital_literacy_index,ideo5_linear,pid7_linear,socmed_use_linear,newsint_linear,intuse_linear,race4_Black,race4_Hispanic,race4_Other,educ4_HS or less,educ4_Postgrad,educ4_Some college,region_Northeast,region_South,region_West,presvote16post_condensed_Did Not Vote,presvote16post_condensed_Hillary Clinton,presvote16post_condensed_Other
0,1,1,0,65,0,1.6666666666666667,2.0,2.0,1.0,4.0,4.0,0,0,0,0,0,1,0,1,0,0,1,0
1,1,1,0,61,0,4.166666666666667,1.0,1.0,2.0,4.0,4.0,0,0,0,0,1,0,0,0,1,0,1,0
0,1,1,0,58,1,2.3333333333333335,3.0,5.0,3.0,4.0,4.0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,0,1,62,1,5.0,5.0,7.0,1.0,3.0,4.0,0,0,0,0,1,0,0,1,0,0,0,0
0,1,1,0,33,1,5.0,3.0,2.0,4.0,2.0,3.0,0,0,1,0,0,0,1,0,0,1,0,0
0,1,1,0,69,0,4.833333333333333,1.0,1.0,4.0,4.0,4.0,0,0,0,1,0,0,0,1,0,0,1,0
0,1,0,1,71,0,5.0,1.0,7.0,3.0,4.0,4.0,0,0,0,0,0,1,1,0,0,0,0,0
0,1,0,1,70,0,3.0,4.0,6.0,1.0,4.0,4.0,0,0,0,0,1,0,0,1,0,0,0,0
0,1,0,1,54,1,2.8333333333333335,3.0,6.0,4.0,2.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0
1,1,1,0,25,1,4.333333333333333,1.0,1.0,1.0,3.0,4.0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,1,0,52,0,4.0,3.0,3.0,2.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,1,75,1,1.3333333333333333,5.0,7.0,1.0,3.0,3.0,0,0,0,0,0,1,0,0,1,1,0,0
1,1,0,1,78,1,4.166666666666667,5.0,5.0,5.0,4.0,3.0,0,0,0,0,0,1,0,1,0,0,0,0
0,1,0,1,62,0,3.0,2.0,1.0,2.0,4.0,4.0,0,0,0,0,0,1,1,0,0,0,1,0
1,1,1,0,72,0,3.5,2.0,1.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,1,0,67,1,3.5,3.0,3.0,2.0,4.0,4.0,0,0,0,0,0,1,1,0,0,0,1,0
0,1,1,0,73,1,3.3333333333333335,2.0,1.0,4.0,4.0,4.0,1,0,0,0,1,0,0,1,0,0,1,0
1,1,0,1,64,0,2.0,3.0,5.0,4.0,3.0,4.0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,1,0,53,1,3.5,3.0,2.0,1.0,4.0,4.0,1,0,0,0,1,0,1,0,0,0,1,0
1,1,1,0,64,0,3.5,1.0,3.0,3.0,4.0,4.0,0,0,0,0,0,1,1,0,0,0,1,0
0,1,1,0,25,0,4.166666666666667,2.0,1.0,1.0,4.0,4.0,0,0,1,0,0,0,0,0,1,0,1,0
0,1,0,1,36,1,4.333333333333333,4.0,6.0,5.0,3.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,1,57,0,3.8333333333333335,5.0,7.0,2.0,4.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,1,52,1,4.166666666666667,3.0,4.0,3.0,3.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0
