untrustworthy_flag,turnout_2020_binary,voted_biden_2020,voted_trump_2020,age,female,digital_literacy_index,ideo5_linear,pid7_linear,socmed_use_linear,newsint_linear,intuse_linear,race4,educ4,region,presvote16post_condensed
0,1,1,0,76,0,4.833333333333333,3.0,1.0,2.0,4.0,4.0,White,Postgrad,West,Hillary Clinton
0,1,1,0,43,0,3.6666666666666665,2.0,2.0,6.0,3.0,4.0,Hispanic,College grad,South,Hillary Clinton
0,1,1,0,88,0,1.3333333333333333,3.0,3.0,1.0,4.0,4.0,Black,College grad,West,Hillary Clinton
1,1,1,0,77,0,2.1666666666666665,2.0,1.0,3.0,4.0,4.0,White,HS or less,South,Hillary Clinton
1,1,1,0,62,1,3.6666666666666665,2.0,1.0,3.0,4.0,4.0,White,Some college,Midwest,Hillary Clinton
1,1,0,1,68,0,3.1666666666666665,4.0,7.0,3.0,4.0,4.0,White,Some college,West,Donald Trump
0,0,0,0,67,1,2.6666666666666665,5.0,5.0,1.0,4.0,4.0,White,College grad,West,Donald Trump
0,1,1,0,60,0,4.833333333333333,1.0,1.0,3.0,4.0,4.0,White,Postgrad,Midwest,Hillary Clinton
0,1,1,0,59,0,4.333333333333333,1.0,1.0,3.0,4.0,4.0,White,Some college,West,Hillary Clinton
0,1,1,0,68,1,4.833333333333333,3.0,1.0,2.0,4.0,4.0,White,College grad,Midwest,Hillary Clinton
0,1,1,0,72,0,5.0,3.0,1.0,2.0,4.0,4.0,White,Some college,Midwest,Hillary Clinton
1,1,0,1,38,0,4.0,5.0,7.0,4.0,4.0,4.0,White,Some college,Midwest,Donald Trump
0,1,1,0,66,1,4.5,3.0,1.0,3.0,4.0,4.0,White,Postgrad,Northeast,Hillary Clinton
0,1,1,0,71,0,4.666666666666667,2.0,3.0,4.0,4.0,4.0,White,College grad,South,Hillary Clinton
0,1,1,0,71,1,2.8333333333333335,1.0,1.0,3.0,4.0,4.0,White,Postgrad,West,Hillary Clinton
1,1,0,1,79,0,4.333333333333333,4.0,5.0,1.0,4.0,4.0,White,College grad,South,Donald Trump
1,1,1,0,47,1,2.3333333333333335,2.0,1.0,3.0,3.0,4.0,White,HS or less,South,Hillary Clinton
0,1,1,0,64,1,2.0,3.0,2.0,4.0,1.0,4.0,White,Some college,Midwest,Hillary Clinton
1,1,1,0,39,1,4.166666666666667,2.0,4.0,2.0,4.0,4.0,White,College grad,West,Hillary Clinton
0,1,1,0,57,0,5.0,1.0,1.0,1.0,4.0,4.0,White,College grad,Midwest,Did Not Vote
1,1,0,1,72,0,3.6666666666666665,4.0,6.0,1.0,4.0,4.0,White,College grad,West,Donald Trump
0,1,1,0,54,1,4.166666666666667,3.0,3.0,3.0,4.0,4.0,White,Some college,Midwest,Other
0,1,1,0,50,0,2.8333333333333335,3.0,4.0,1.0,4.0,4.0,White,Postgrad,West,Other
1,1,0,1,76,1,1.8333333333333333,3.0,6.0,2.0,1.0,4.0,White,HS or less,South,Donald Trump
1,1,0,1,71,0,3.0,3.0,4.0,4.0,4.0,1.0,White,Postgrad,West,Donald Trump
0,1,1,0,49,1,2.8333333333333335,2.0,2.0,4.0,4.0,4.0,White,Some college,South,Hillary Clinton
0,1,0,1,65,1,3.0,5.0,7.0,3.0,4.0,4.0,White,College grad,South,Donald Trump
